Classifier_3000,Precision_3000,Accuracy_3000
Naive Bayes,0.9915966386554622,0.9729206963249516
Logistic Regression,0.9473684210526315,0.9584139264990329
Support Vector Machine,0.9917355371900827,0.9748549323017408
Random Forest,0.9917355371900827,0.9748549323017408
K-Nearest Neighbors,1.0,0.9042553191489362
