Classifier,Precision,Accuracy
Naive Bayes,0.9906542056074766,0.9613152804642167
Logistic Regression,0.9423076923076923,0.9487427466150871
Support Vector Machine,0.9912280701754386,0.9680851063829787
Random Forest,0.9911504424778761,0.9671179883945842
K-Nearest Neighbors,1.0,0.8965183752417795
